test,predict
3.621444444,3.5283763
3.893555556,3.6574926
3.872444444,3.526212
3.478777778,3.4594758
3.532222222,3.4704497
3.648,3.2350187
3.481777778,3.127806
3.506666667,3.2060368
3.179333333,3.0720322
3.313111111,3.0882528
3.300666667,3.0422034
3.373333333,3.0616152
3.3034444440000006,3.0953035
2.935666667,3.0002801
3.136444444,3.0315194
3.193333333,3.0383358
3.019444444,3.0347195
2.970666667,2.9329948
2.930666667,3.0702665
3.073555556,3.0560715
3.0666666670000002,3.07303
3.059333333,3.062415
2.94,3.002104
