test,predict
4.222,3.7072635
4.002444444,3.714111
3.968111111,3.8255622
3.682666667,3.3357608
3.523333333,3.3336494
3.397777778,3.1286135
3.394666667,3.1825268
3.356888889,3.1485455
3.368555556,3.0589633
3.2877499999999995,3.1351852
3.325333333,3.0893865
3.407888889,3.216808
3.1891111109999994,3.220594
3.146,3.1447546
3.026111111,3.05417
3.017888889,3.0197935
2.975,3.032165
3.088555556,3.0371969
2.954666667,3.1067595
3.045555556,3.0871127
2.923111111,3.2053266
2.993111111,3.1028886
2.979,3.0870128
