test,predict
3.621444444,3.763033
3.893555556,3.7590246
3.872444444,3.674029
3.478777778,3.5436754
3.532222222,3.5954711
3.648,3.4447093
3.481777778,3.3124366
3.506666667,3.4200854
3.179333333,3.211791
3.313111111,3.1734436
3.300666667,3.1272023
3.373333333,3.1500618
3.3034444440000006,3.1797886
2.935666667,3.1534212
3.136444444,3.1344864
3.193333333,3.189884
3.019444444,3.1441953
2.970666667,3.1982799
2.930666667,3.36218
3.073555556,3.118206
3.0666666670000002,3.127687
3.059333333,3.0979664
2.94,3.0891588
