test,predict
3.546444444,3.5749416
3.666222222,3.6075246
3.271777778,3.646273
3.419888889,3.7843475
3.2675555560000005,3.664618
3.297333333,3.522866
3.220222222,3.6149583
3.066444444,3.5241365
3.261555556,3.2866693
3.442888889,3.2091877
3.465555556,3.2212567
3.334333333,3.1690621
3.401333333,3.0763545
3.192333333,3.1031647
3.067,3.016867
2.997222222,2.94417
2.784222222,2.9057229
2.89,2.8747792
2.818777778,2.9941254
2.868555556,3.0249596
2.731222222,2.8892496
2.762777778,2.8628547
2.698666667,2.8440137
