test,predict
3.546444444,3.742029
3.666222222,3.7576063
3.271777778,3.6353452
3.419888889,3.7388442
3.2675555560000005,3.609762
3.297333333,3.670423
3.220222222,3.6613755
3.066444444,3.500326
3.261555556,3.4355888
3.442888889,3.4037085
3.465555556,3.3226774
3.334333333,3.1646068
3.401333333,3.131736
3.192333333,3.1179957
3.067,3.002368
2.997222222,2.9466603
2.784222222,2.9392407
2.89,2.9134488
2.818777778,3.0568137
2.868555556,3.080205
2.731222222,3.0262673
2.762777778,2.986251
2.698666667,2.9419982
