test,predict
4.449555556,3.6667414
4.023333333,3.4889784
3.948444444,3.2711241
3.3478888890000005,3.1696122
3.348,3.2921903
3.424,3.2163064
3.420888889,3.0160959
3.226666667,3.0515528
3.051333333,3.2491086
3.029444444,3.225524
3.196555556,3.0864706
3.096888889,2.9784153
3.162777778,3.031017
3.1025555559999995,3.0969362
3.053555556,3.2034001
3.005888889,2.9987273
3.043444444,3.027712
3.149888889,3.1103015
3.121888889,3.1666062
3.016777778,3.0876098
3.085555556,3.089723
3.0960000000000005,2.8946936
2.971333333,2.8429363
